Run Time, Comparisons, Swaps
Unsorted,,
106,8723,9976
213,8723,9976
102,8723,9976
130,8723,9976
99,8723,9976
99,8723,9976
98,8723,9976
98,8723,9976
97,8723,9976
98,8723,9976

Sorted,,
57,5044,9976
56,5044,9976
57,5044,9976
57,5044,9976
56,5044,9976
57,5044,9976
56,5044,9976
56,5044,9976
57,5044,9976
57,5044,9976
